+----------------------+-------------------------------------------------------+
+----------------------+-------------------------------------------------------+
| LEICA Antennae       |                                                       |
| IGS Codes-15 columns |                      Description                      |
| XXXXXXXXXXXXXXX DOME |                                                       |
+----------------------+-------------------------------------------------------+
| LEIAR10              |  Multi-purpose geodetic reference station antenna     |
|                      |   with large groundplane and integrated radome.       |
|                      |   GPS: L1,L2,L5 GLONASS: L1,L2,L3 Galileo: E2-L1-E1,  |
|                      |   E5a,E5b,E6,AltBOC Compass: B1,B2,B3 L-BAND          |
| LEIAR25              |  Dorne Margolin with 3D choke ring (Revision 2)       |
|                      |   GPS: L1,L2,L5 GLONASS: L1,L2,L3 Galileo: E2-L1-E1,  |
|                      |   E5a,E5b,E6,AltBOC Compass: B1,B2,B3 L-BAND          |
|                      |   [Note: Revision 1 was never released to public.]    |
| LEIAR25.R3           |  Dorne Margolin with 3D choke ring (Revision 3)       |
|                      |   GPS: L1,L2,L5 GLONASS: L1,L2,L3 Galileo: E2-L1-E1,  |
|                      |   E5a,E5b,E6,AltBOC Compass: B1,B2,B3 L-BAND          |
|                      |   Includes insert for enhanced L5 performance.        |
| LEIAR25.R4           |  Dorne Margolin with 3D choke ring (Revision 4)       |
|                      |   GPS: L1,L2,L5 GLONASS: L1,L2,L3 Galileo: E2-L1-E1,  |
|                      |   E5a,E5b,E6,AltBOC Compass: B1,B2,B3 L-BAND          |
|                      |   Includes insert for enhanced L5 performance.        |
| LEIAS05              |  External geodetic antenna L1, SmartTrack,            |
|                      |   GPS & GLONASS                                       |
| LEIAS10              |  External geodetic antenna, SmartTrack+ with series   |
|                      |   1200 receivers, GPS L1/L2/L5, GLO, Galileo, Compass |
| LEIAT201             |  External micropulse antenna L1, w/o groundplane      |
|                      |   with series 200 receivers                           |
| LEIAT202+GP          |  External micropulse antenna L1/L2, with groundplane  |
|                      |   with series 200 receivers                           |
| LEIAT202-GP          |  External micropulse antenna L1/L2, no groundplane    |
|                      |   with series 200 receivers                           |
| LEIAT302+GP          |  External micropulse antenna L1/L2, with groundplane  |
|                      |   with series 300 receivers                           |
| LEIAT302-GP          |  External micropulse antenna L1/L2, no groundplane    |
|                      |   with series 300 receivers                           |
| LEIAT303             |  Micropulse antenna L1/L2, with chokerings            |
| LEIAT501             |  External antenna with Aero element L1,               |
|                      |   with series 500 receivers                           |
| LEIAT502             |  External antenna with Aero element L1/L2,            |
|                      |   with series 500 receivers                           |
| LEIAT503             |  Micropulse antenna with chokerings, L1/L2            |
|                      |   (identical to LEICA AT303)                          |
| LEIAT504             |  L1/L2 Dorne Margolin antenna with chokerings         |
|                      |   (designed after DORNE MARGOLIN T)                   |
| LEIAT504GG           |  L1/L2 Dorne Margolin antenna with chokerings         |
|                      |   (designed after DORNE MARGOLIN T), GPS & GLONASS    |
| LEIATX1230           |  Internal geodetic antenna L1/L2, SmartTrack, GPS     |
| LEIATX1230GG         |  Internal geodetic antenna L1/L2, SmartTrack,         |
|                      |  GPS & GLONASS                                        |
| LEIATX1230+GNSS      |  Internal geodetic antenna, SmartTrack+,              |
|                      |  GPS L1/L2/L5, GLONASS, Galileo, Compass              |
| LEIAX1201            |  External antenna L1, SmartTrack                      |
|                      |   with series 1200 receivers                          |
| LEIAX1202            |  External geodetic antenna L1/L2, SmartTrack          |
|                      |   with series 1200 receivers                          |
| LEIAX1202GG          |  External geodetic antenna L1/L2, SmartTrack          |
|                      |   with series 1200 receivers, GPS & GLONASS           |
| LEIAX1203+GNSS       |  External geodetic antenna, SmartTrack+ with series   |
|                      |  1200 receivers, GPS L1/L2/L5, GLONASS, Galileo,      |
|                      |  Compass                                              |
| LEIGS09              |  Internal geodetic antenna L1/L2, SmartTrack+,        |
|                      |   GPS & GLONASS                                       |
| LEIGS15              |  Internal geodetic antenna, SmartTrack+,              |
|                      |  GPS L1/L2/L5, GLONASS, Galileo, Compass              |
| LEIMNA1202GG         |  External geodetic antenna L1/L2, SmartTrack          |
|                      |   with PowerBox receiver, GPS & GLONASS               |
| LEIMNA950GG          |  Internal geodetic antenna L1/L2, SmartTrack,         |
|                      |  GPS & GLONASS (PowerAntenna)                         |
| LEISR299_INT         |  Internal antenna with Ball element L1/L2,            |
|                      |   part of the SR299 receiver                          |
| LEISR399_INT         |  Revised antenna with modified mount design L1/L2,    |
|                      |   part of the SR399 receiver, made or serviced *after*|
|                      |   Aug 97 (see http://www.ngs.noaa.gov/ANTCAL)         |
|                      |   Warning: Descriptions interchanged in June 2009.    |
| LEISR399_INTA        |  Original internal antenna with Ball element L1/L2,   |
|                      |   part of the SR399 receiver, made *prior* to Aug 97  |
|                      |   Warning: Descriptions interchanged in June 2009.    |
+----------------------+-------------------------------------------------------+
| Previously valid     |  New Codes                                            |
+----------------------+-------------------------------------------------------+
| DORNE MARGOLIN LEICA |  LEIAT504                                             |
